Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing World Championship - Paris (FRA) 2012,443,1,MÉLANIE SANDOZ,FRA,5T7 5B7,2T5 4B7,3T4 3B4
IFSC Climbing World Championship - Paris (FRA) 2012,44,2,OLGA IAKOVLEVA,RUS,4T7 4B7,2T4 3B4,3T6 3B6
IFSC Climbing World Championship - Paris (FRA) 2012,1211,3,ANNA STÖHR,AUT,5T7 5B7,3T4 4B4,2T3 4B9
IFSC Climbing World Championship - Paris (FRA) 2012,427,4,CECILE AVEZOU,FRA,4T9 4B8,2T2 4B4,2T3 3B5
IFSC Climbing World Championship - Paris (FRA) 2012,2035,5,JAIN KIM,KOR,4T8 4B8,3T8 4B10,2T3 2B3
IFSC Climbing World Championship - Paris (FRA) 2012,2253,6,AKIYO NOGUCHI,JPN,5T8 5B8,2T3 4B5,2T4 3B5
IFSC Climbing World Championship - Paris (FRA) 2012,3246,7,PETRA KLINGLER,SUI,5T7 5B7,2T5 4B9,
IFSC Climbing World Championship - Paris (FRA) 2012,1202,8,BARBARA BACHER,AUT,4T7 4B7,2T5 3B6,
IFSC Climbing World Championship - Paris (FRA) 2012,1710,9,ALEX PUCCIO,USA,5T6 5B6,1T2 4B9,
IFSC Climbing World Championship - Paris (FRA) 2012,2823,10,JULIANE WURM,GER,4T6 4B6,1T2 3B5,
IFSC Climbing World Championship - Paris (FRA) 2012,454,11,MELISSA LE NEVE,FRA,5T8 5B8,1T2 3B6,
IFSC Climbing World Championship - Paris (FRA) 2012,2013,12,MONIKA RETSCHY,GER,4T8 5B13,1T2 3B8,
IFSC Climbing World Championship - Paris (FRA) 2012,58,13,YANA CHERESHNEVA,RUS,5T14 5B13,1T3 4B8,
IFSC Climbing World Championship - Paris (FRA) 2012,1209,14,KATHARINA SAURWEIN,AUT,5T16 5B13,1T3 4B11,
IFSC Climbing World Championship - Paris (FRA) 2012,41,15,OLGA BIBIK,RUS,4T7 5B13,1T3 3B5,
IFSC Climbing World Championship - Paris (FRA) 2012,3059,16,HANNAH MIDTBOE,NOR,5T12 5B11,1T3 2B4,
IFSC Climbing World Championship - Paris (FRA) 2012,848,17,JENNY LAVARDA,ITA,4T16 4B15,1T3 2B5,
IFSC Climbing World Championship - Paris (FRA) 2012,5879,18,ANGELA PAYNE,USA,4T11 5B12,1T7 4B13,
IFSC Climbing World Championship - Paris (FRA) 2012,3357,19,TAMARA ULZHABAYEVA,KAZ,3T5 3B5,1T11 4B17,
IFSC Climbing World Championship - Paris (FRA) 2012,4761,20,ANNA GALLYAMOVA,RUS,5T7 5B6,0T 4B14,
IFSC Climbing World Championship - Paris (FRA) 2012,4927,21,SOHO LANGBEHN,CHI,3T7 4B15,,
IFSC Climbing World Championship - Paris (FRA) 2012,5670,21,KATY WHITTAKER,GBR,4T9 5B14,,
