Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Vail (USA) 2013,1211,1,ANNA STÖHR,F,AUT,5T5 5B5,2T10 4B11,4T9 4B7
IFSC Climbing Worldcup (B) - Vail (USA) 2013,2253,2,AKIYO NOGUCHI,F,JPN,5T5 5B5,0T 3B3,4T9 4B9
IFSC Climbing Worldcup (B) - Vail (USA) 2013,1710,3,ALEX PUCCIO,F,USA,5T8 5B8,0T 3B7,4T9 4B9
IFSC Climbing Worldcup (B) - Vail (USA) 2013,636,4,SHAUNA COXSEY,F,GBR,4T4 5B5,0T 2B2,3T4 4B5
IFSC Climbing Worldcup (B) - Vail (USA) 2013,2823,5,JULIANE WURM,F,GER,2T2 5B6,2T10 2B9,3T4 3B4
IFSC Climbing Worldcup (B) - Vail (USA) 2013,5879,6,ANGELA PAYNE,F,USA,2T4 5B5,1T2 2B5,0T 3B3
IFSC Climbing Worldcup (B) - Vail (USA) 2013,1209,7,KATHARINA SAURWEIN,F,AUT,2T4 4B4,0T 2B2,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,454,8,MELISSA LE NEVE,F,FRA,5T6 5B5,0T 2B3,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,1568,9,ELISE SETHNA,F,CAN,1T1 3B6,0T 2B3,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,2268,10,AYA ONOE,F,JPN,3T6 5B6,0T 2B4,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,638,11,MINA LESLIE-WUJASTYK,F,GBR,3T3 5B7,0T 2B5,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,2013,12,MONIKA RETSCHY,F,GER,4T6 5B5,0T 1B1,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,2263,13,MOMOKA ODA,F,JPN,3T3 5B5,0T 1B1,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,632,14,LEAH CRANE,F,GBR,2T3 5B7,0T 1B1,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,5249,15,CHELSEA RUDE,F,USA,1T1 4B5,0T 1B1,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,443,16,MÉLANIE SANDOZ,F,FRA,1T2 4B4,0T 1B1,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,6251,17,SHANNON RUSSELL,F,USA,1T2 3B4,0T 1B1,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,6167,18,NINA WILLIAMS,F,USA,1T2 3B5,0T 1B1,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,1557,19,STACEY WELDON,F,CAN,1T1 2B2,0T 1B2,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,1769,20,LISA CHULICH,F,USA,1T1 2B3,0T 0B,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,4763,21,DIANE MERRICK,F,GBR,1T2 3B7,,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,1768,22,MEGAN MASCARENAS,F,USA,1T3 5B8,,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,4830,23,FRANCESCA METCALF,F,USA,1T3 5B10,,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,3578,24,VERA ZIJLSTRA,F,NED,1T3 4B12,,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,4834,25,ISABELLE FAUS,F,USA,1T3 3B4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,3139,26,THAIS MAKINO SHIRAIWA,F,BRA,1T3 3B9,,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,4451,27,CLAIRE BELL,F,GBR,1T3 1B2,,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,2503,28,TIFFANY MELIUS,F,AUS,1T4 3B6,,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,1750,29,KYRA CONDIE,F,USA,1T5 4B12,,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,5874,30,TIFFANY HENSLEY,F,USA,0T 3B5,,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,6050,31,ATORI YASUDA,F,JPN,0T 3B7,,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,6006,32,TYLER YOUNGWERTH,F,USA,0T 2B2,,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,5012,33,ANDREA BRIGITTA SZEKELY,F,HUN,0T 2B4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,6188,34,CLAUDIA MALDONADO,F,MEX,0T 2B5,,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,6249,35,MARIETA AKALSKI,F,CAN,0T 2B6,,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,6007,35,JESSE YOUNGWERTH,F,USA,0T 2B6,,
IFSC Climbing Worldcup (B) - Vail (USA) 2013,6172,37,ERICA CARLSON,F,CAN,0T 1B2,,
