Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1147,1,JANJA GARNBRET,SLO,TOP  1. | TOP  1. [2.12],40+,TOP
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1226,2,JESSICA PILZ,AUT,40+  3. | TOP  1. [3.00],35+,TOP
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,315,3,ANAK VERHOEVEN,BEL,TOP  1. | TOP  1. [2.12],36,46+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1812,4,ASHIMA SHIRAISHI,USA,35   13. | 49+  6. [8.83],33+,39+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1122,5,MINA MARKOVIC,SLO,36+  10. | 47+  7. [10.22],33+,39+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1153,6,VITA LUKAN,SLO,36+  10. | 47+  7. [10.22],35,33+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1161,7,MIA KRAMPL,SLO,37+  6. | TOP  1. [4.42],33+,33+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,530,8,NOLWENN ARC,FRA,37   8. | 42   30. [16.23],33+,33+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,455,9,HÉLÈNE JANICOT,FRA,34+  14. | 43+  19. [19.24],33+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1222,10,KATHARINA POSCH,AUT,34+  14. | 42+  23. [21.93],33+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,462,11,MANON HILY,FRA,38+  5. | 46+  13. [8.22],33,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,928,12,LAURA ROGORA,ITA,36+  10. | 47+  7. [10.22],33,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1232,13,HANNAH SCHUBERT,AUT,40   4. | TOP  1. [3.46],29.5+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,457,14,NOLWEN BERTHIER,FRA,33+  25. | 43   22. [24.15],29+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,467,15,SALOMÉ ROMAIN,FRA,37   8. | 47+  7. [8.99],29,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,456,16,MATHILDE BECERRA,FRA,34+  14. | 45+  15. [16.66],28+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,2268,17,AYA ONOE,JPN,34+  14. | 44+  16. [17.47],28+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1210,18,CHRISTINE SCHRANZ,AUT,33+  25. | 43+  19. [23.02],28+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,3060,19,TINA JOHNSEN HAFSAAS,NOR,34+  14. | 42   30. [23.95],28+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1160,20,LUCKA RAKOVEC,SLO,29+  37. | 44+  16. [24.87],28+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1239,21,JULIA FISER,AUT,31+  32. | 47+  7. [17.71],27+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,2043,22,SEURAN HAN,KOR,33+  25. | 44   18. [21.84],27+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,561,23,CAMILLE POUGET,FRA,34+  14. | 38+  36. [25.99],26+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,2369,24,NATSUMI HIRANO,JPN,37+  6. | 46+  13. [9.37],21+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,3426,25,ANNE-SOPHIE KOLLER,SUI,34+  14. | 47+  7. [13.26],14.5+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,2277,26,MOE YOSHIMURA,JPN,34   24. | 42+  23. [24.98],14.5+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,2270,27,YUKI HIROSHIGE,JPN,34+  14. | 37   39. [27.03],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1139,28,TJASA KALAN,SLO,32+  29. | 42+  23. [27.46],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,514,29,NINA ARTHAUD,FRA,32   30. | 42+  23. [28.16],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1148,29,TJASA SLEMENSEK,SLO,32   30. | 42+  23. [28.16],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,3580,31,NIKKI VAN BERGEN,NED,31+  32. | 42+  23. [29.29],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1751,32,CLAIRE BUHRFEIND,USA,34+  14. | 32   44. [29.49],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,2771,33,VANDA MICHALKOVA,SVK,26+  42. | 43+  19. [29.83],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,1486,34,IEVGENIIA KAZBEKOVA,UKR,31   35. | 42+  23. [30.38],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,3130,35,KATHERINE CHOONG,SUI,34+  14. | 27   57. [33.04],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,2055,36,MINSEON KIM,KOR,31+  32. | 40+  34. [33.74],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,3840,37,STASA GEJO,SRB,28   40. | 42   30. [35.21],,
