Event,ID,Rank,Name,Country,Qualification,Final
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,64,1,SERGEY ABDRAKHMANOV,RUS,13.940,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,48,2,SERGEI SINITCYN,RUS,15.440,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,4745,3,LUKASZ SWIRK,POL,13.090,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,4882,4,ZUFAR NIGMANOV,RUS,15.470,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,74,5,STANISLAV KOKORIN,RUS,12.330,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,2838,5,JEDRZEJ KOMOSINSKI,POL,14.270,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,86,5,ARSENII SHEVCHENKO,RUS,16.410,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,56,5,EVGENII VAITSEKHOVSKII,RUS,14.280,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,1359,9,LIBOR HROZA,CZE,17.610,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,4971,10,GIANLUCA SIROTTI,ITA,18.170,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,5916,11,KOSTIANTYN PODCHESOV,UKR,18.430,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,6113,12,PAWEŁ SIKORA,POL,18.520,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,4957,13,MICHEL SIROTTI,ITA,19.790,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,6043,14,FABIAN BOSLER,GER,33.860,
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,4969,15,MAXIMILIAN PORSCHA,GER,36.150,
