Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",82,1,MARIIA KRASAVINA,F,RUS,8.010,7.92
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",2834,2,EDYTA ROPEK,F,POL,8.690,8.16
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",110,3,IULIIA KAPLINA,F,RUS,7.560,8.02
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",479,4,ANOUCK JAUBERT,F,FRA,8.270,FALL
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",73,5,ANNA TSYGANOVA,F,RUS,9.340,8.30
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",2848,6,ALEKSANDRA MIROSLAW,F,POL,8.830,8.46
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",2857,7,PATRYCJA CHUDZIAK,F,POL,8.980,8.76
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",2855,8,ANNA BROZEK,F,POL,9.860,10.40
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",3357,9,TAMARA ULZHABAYEVA,F,KAZ,8.930,8.94
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",2842,10,MONIKA PROKOPIUK-KAWECKA,F,POL,9.460,9.23
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",2847,11,KLAUDIA BUCZEK,F,POL,10.280,9.28
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",3364,12,ASSEL MARLENOVA,F,KAZ,9.950,9.60
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",1233,13,NINA LACH,F,AUT,9.160,10.50
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",3378,14,ALEXANDRA ZHIZNEVSKAYA,F,KAZ,10.770,11.37
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",1493,15,ALLA MARENYCH,F,UKR,8.760,11.45
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",3633,16,"MINGXIN, JUDITH SIM",F,SGP,15.000,13.33
