Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",479,1,ANOUCK JAUBERT,F,FRA,8.030,8.15
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",110,2,IULIIA KAPLINA,F,RUS,7.960,10.13
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",510,3,ELMA FLEURET,F,FRA,8.870,8.74
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",2855,4,ANNA BROZEK,F,POL,8.770,9.95
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",488,5,AURELIA SARISSON,F,FRA,8.620,8.58
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",2857,6,PATRYCJA CHUDZIAK,F,POL,8.810,8.83
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",2834,7,EDYTA ROPEK,F,POL,8.210,9.40
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",73,8,ANNA TSYGANOVA,F,RUS,8.340,10.41
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",112,9,DARIA KAN,F,RUS,8.660,8.72
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",119,10,SVETLANA MOTOVILOVA,F,RUS,9.000,8.96
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",2847,11,KLAUDIA BUCZEK,F,POL,8.290,9.21
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",117,12,ELENA TIMOFEEVA,F,RUS,8.290,9.40
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",1233,13,NINA LACH,F,AUT,9.130,9.47
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",1230,14,ALEXANDRA ELMER,F,AUT,9.460,9.87
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",129,15,ELIZAVETA IVANOVA,F,RUS,8.700,10.34
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",2848,16,ALEKSANDRA MIROSLAW,F,POL,8.230,FALL
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",3209,17,ANDREA ROJAS,F,ECU,9.550,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",1493,18,ALLA MARENYCH,F,UKR,9.590,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",2842,19,MONIKA PROKOPIUK-KAWECKA,F,POL,9.630,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",1761,20,ERICA MEISTER,F,USA,9.860,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",935,21,ELISABETTA DALLA BRIDA,F,ITA,9.870,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",1218,22,STEFANIE PICHLER,F,AUT,9.910,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",915,23,GIORGIA RANDI,F,ITA,10.450,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",898,24,SILVIA PORTA,F,ITA,10.480,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",897,25,GIULIA FOSSALI,F,ITA,10.760,
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",511,26,VICTOIRE ANDRIER,F,FRA,11.200,
